                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         train/ave_loss,           val/ave_loss,                   mIOU,             IOU_array0,             IOU_array1,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     22,                0.80241,                0.62868,                0.98238,                0.89686,                0.89519,                0.92818,                0.74503,                0.78029,                0.54056,                0.96971,              0.0020419,              0.0016159,                0.69865,                0.99943,                0.39787,                 11.018,              0.0044227,              0.0015515,              0.0015515,              0.0015515,              0.0015515
                     23,                0.79552,                0.62418,                 0.9748,                0.89495,                0.86495,                 0.9307,                0.71725,                0.85354,                0.57474,                 0.9837,              0.0020705,              0.0016318,                0.71468,                0.99945,                0.42991,                  11.03,              0.0036348,               0.001546,               0.001546,               0.001546,               0.001546
                     24,                0.80953,                0.63095,                  0.989,                0.92204,                0.84867,                0.92836,                0.73334,                0.80178,                0.54943,                0.97572,              0.0024175,              0.0016658,                0.70759,                0.99945,                0.41574,                 11.043,              0.0046889,              0.0015405,              0.0015405,              0.0015405,              0.0015405
                     25,                0.81127,                0.62577,                0.98612,                 0.8861,                0.88071,                0.92612,                0.74132,                0.79614,                0.53256,                0.96592,              0.0018422,              0.0015437,                 0.7211,                0.99947,                0.44273,                 11.056,              0.0032852,               0.001535,               0.001535,               0.001535,               0.001535
                     26,                0.82492,                0.64867,                0.99155,                0.88682,                0.79928,                0.89867,                0.70087,                0.81203,                0.66114,                0.97642,              0.0017917,              0.0015689,                0.71126,                0.99947,                0.42306,                  11.07,              0.0041601,              0.0015295,              0.0015295,              0.0015295,              0.0015295
                     27,                0.79853,                0.60244,                  0.968,                0.87597,                0.86423,                0.92705,                0.73932,                0.79436,                0.54609,                0.97041,              0.0017326,              0.0016458,                0.74025,                0.99939,                0.48111,                 11.082,              0.0036638,               0.001524,               0.001524,               0.001524,               0.001524
                     28,                0.80821,                0.62632,                 0.9918,                0.88592,                0.86183,                0.91295,                0.72655,                 0.7983,                0.56002,                0.96673,              0.0017411,              0.0014869,                0.73897,                0.99944,                0.47849,                 11.095,              0.0033122,              0.0015185,              0.0015185,              0.0015185,              0.0015185
                     29,                0.81918,                0.62283,                0.98116,                0.89589,                0.87641,                0.93257,                0.74441,                0.79842,                0.53133,                0.96797,              0.0017807,              0.0013876,                0.71511,                0.99948,                0.43074,                 11.107,              0.0033601,               0.001513,               0.001513,               0.001513,               0.001513
                     30,                0.82263,                 0.6094,                0.98513,                0.89589,                0.87676,                0.93857,                0.73669,                0.83892,                0.54104,                0.99014,              0.0016729,               0.001476,                0.70861,                0.99947,                0.41775,                 11.121,              0.0029585,              0.0015075,              0.0015075,              0.0015075,              0.0015075
                     31,                0.82116,                0.63152,                0.99272,                0.86184,                0.85313,                0.90675,                0.70114,                0.86667,                0.61882,                0.99882,              0.0016785,              0.0015634,                0.71607,                0.99941,                0.43274,                 11.133,              0.0041209,               0.001502,               0.001502,               0.001502,               0.001502
